show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,country_cleaned,continent,month,day,year,difference
s27,movie,sleepwalker,missing,,usa,2021-10-15,2017,tv-14,88 min,thriller,a graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality.,missing,north america,10,15,2021,57
s28,tv show,swamp people,missing,,united states,2021-10-15,2010,tv-pg,3 seasons,"documentaries, reality","deep in the heart of louisiana lies america's largest swamp – a million miles of inhospitable bayous, marshes and wetlands where nature rules and humans struggle to tame it.",missing,north america,10,15,2021,141
s29,tv show,unsolved,missing,,usa,2021-10-15,2019,missing,2 seasons,"documentaries, news","more than 750 people are missing from houston and the surrounding towns of the major texas city. among the missing are mothers written off by police as runaways. they are hardworking couples who have been targeted. and they are upstanding members of their community who simply slowed down to give someone a ride. some have been found, their bodies dumped in the infamous texas killing fields. others have vanished and their cases gone cold. a year turns into five years, turns into a decade and it gets harder and harder for investigators to generate new leads. but, detectives quietly keep working. they work for the women whose stories are forgotten. they work for the families ripped apart by seemingly random attacks. dna is tested as evidence, sketches are drawn of the missing, surveillance video of a suspect is circulated among media in hopes of closing a case. but when the missing go unreported, victims faces have long since faded from the headlines and even the best video can't identify a murderer, do their cases go unsolved forever?",missing,north america,10,15,2021,33
s30,tv show,acapulco shore,missing,,mexico,2021-10-14,2014,tv-14,3 seasons,"latino, reality","a group of young mexicans live together and share fun, drama and a lot of alcohol.",missing,north america,10,14,2021,93
s31,tv show,catfish méxico,missing,,mexico,2021-10-14,2018,missing,1 season,"latino, reality","porque sabemos que no es fácil encontrar el amor verdadero en este mundo digital, mtv catfish llega a méxico para salvarte de las mentiras. todos nos merecemos saber quién está detrás de ese perfil falso.",missing,north america,10,14,2021,45
s32,movie,censor,missing,,uk,2021-10-14,2021,missing,84 min,horror,a film censor is assigned to review a disturbing film that recalls her childhood memories. she begins to unravel how this eerie work might be tied to the long-ago disappearance of her sister.,missing,missing,10,14,2021,9
s33,tv show,dani who?,missing,,usa,2021-10-14,2019,missing,1 season,"latino, mystery, science fiction",a girl disappears in the town of san gregorio and a group of teenagers decide to investigate what happened.,missing,north america,10,14,2021,33
s34,tv show,la culpa es de cortés,missing,,spain,2021-10-14,2017,missing,4 seasons,"comedy, latino","cinco reconocidos comediantes mexicanos, de distintas regiones del país, se juntan para comentar de manera ácida y divertida las costumbres y tradiciones de méxico.",missing,europe,10,14,2021,57
s35,movie,out of death,missing,,usa,2021-10-14,2021,not rated,95 min,thriller,"when shannon (jaime king) sets out on a hike to spread her deceased father’s ashes, she witnesses a corrupt sheriff’s deputy, billie (lala kent) brutally murder a drug dealer. having seen shannon witness the murder, billie and her cohorts set off to permanently silence shannon. on the run from the dirty cops, shannon stumbles into and recruits the help of a retired cop, jack harris (bruce willis).",missing,north america,10,14,2021,9
s37,tv show,why not us,missing,,usa,2021-10-14,2021,missing,2 seasons,"documentaries, sports","all-access to the north carolina central university men's basketball program, which looks to become the first hbcu to reach the sweet 16.",missing,north america,10,14,2021,9
s38,movie,bellator mma: kongo vs. johnson 2,missing,,usa,2021-10-13,2020,missing,missing,sports,cheick kongo vs. tim johnson battle in a historic classic from october 2020,missing,north america,10,13,2021,21
s39,movie,chips,missing,,usa,2021-10-13,2017,r,101 min,"action, adventure, comedy",ponch and jon are together again in this hilarious update of the popular tv series that follows a mismatched pair of motorcycle cops.,missing,north america,10,13,2021,57
s40,tv show,dopesick,missing,,usa,2021-10-13,2021,tv-ma,1 season,drama,"from executive producer danny strong and starring and executive produced by michael keaton, “dopesick” examines how one company triggered the worst drug epidemic in american history. the series takes viewers to the epicenter of america’s struggle with opioid addiction, from the boardrooms of big pharma, to a distressed virginia mining community, to the hallways of the dea. defying all the odds, heroes will emerge in an intense and thrilling ride to take down the craven corporate forces behind this national crisis and their allies. the limited series is inspired by the new york times bestselling book by beth macy.",missing,north america,10,13,2021,9
s41,movie,in the crease,missing,,usa,2021-10-13,2020,missing,missing,sports,post-game analysis and highlight show airing each night throughout the nhl season from barry melrose and linda cohn.,missing,north america,10,13,2021,21
s42,tv show,"champaign, ill",missing,,usa,2021-10-12,2018,missing,1 season,comedy,"after the death of their best friend, a wildly famous rap icon, alf and ronnie lose their lavish lifestyle and are forced to return home to champaign, illinois. in order to get back what the",missing,north america,10,12,2021,45
s43,movie,the loneliest whale: the search for 52,missing,,usa,2021-10-12,2021,pg,97 min,documentaries,"a cinematic quest to find the “52 hertz whale.” as the film embarks on its engrossing journey, we uncover what this whale’s lonely plight teaches us not only about our relationship to the ocean, but to each other.",missing,north america,10,12,2021,9
s44,movie,gunda,missing,,norway,2021-10-11,2020,g,93 min,documentaries,"experiential cinema in its purest form, gunda is a transcendent and masterfully intimate chronicle of a mother pig, a flock of chickens, and a herd of cows.",missing,europe,10,11,2021,21
s45,tv show,buried,missing,,spain,2021-10-10,2021,tv-ma,1 season,"crime, documentaries","in january 1989, in a flash eileen franklin recalled being eight years old and witnessing the rape and murder of her best friend, susan nason. she also remembered the identity of the murderer ? it was eileen?s own father, george franklin. the ensuing trial was the first criminal case based on a repressed memory, and it raised questions and issues that continue to challenge the reliability of memory and of criminal testimony to this day. eileen franklin?s memories were terrifying beyond imagining... but were they true beyond a reasonable doubt?",missing,europe,10,10,2021,9
s46,tv show,demon slayer kimetsu no yaiba,missing,,japan,2021-10-10,2019,tv-14,2 seasons,"action, adventure, anime","it is the taisho period in japan. tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. to make matters worse, his younger sister nezuko, the sole survivor, has been transformed into a demon herself. though devastated by this grim reality, tanjiro resolves to become a ""demon slayer"" so that he can turn his sister back into a human, and kill the demon that massacred his family. a sorrowful tale of siblings in which the fates of humans and demons intertwine... begins now!",missing,asia,10,10,2021,33
s47,movie,g.i. joe: retaliation,missing,,usa,2021-10-10,2013,pg-13,105 min,"action, adventure",the greatest american heroes are back to face cobra in a new adventure.,missing,north america,10,10,2021,105
s48,movie,rogue hostage,missing,,usa,2021-10-10,2021,missing,94 min,"action, thriller",child protective services officer and former marine kyle snowden must save an immigrant child from a dangerous criminal who has trapped them and other hostages inside a neighborhood store owned by kyle’s controversial stepfather congressman sam nelson.,missing,north america,10,10,2021,9
s49,tv show,roots less traveled,missing,,usa,2021-10-10,2020,tv-g,1 season,reality,"pairs of family members, often from different generations, set out on adventures to solve mysteries from their family trees and grow closer as they gain wisdom not only about themselves, but also about how their past has helped shape their present.",missing,north america,10,10,2021,21
s51,movie,yashahime: princess half-demon,missing,,japan,2021-10-09,2020,2 seasons,missing,anime,"long-lost twins towa and setsuna reunite after ten years to discover that they are the half-demon daughters of the great demon sesshomaru. joined by moroha, the daughter of inuyasha, the three set out on a journey to regain their missing past.",missing,asia,10,9,2021,21
s53,movie,jacinta,missing,,usa,2021-10-08,2021,tv-ma,105 min,documentaries,"an intimate portrait of mothers and daughters and the effects of trauma, jacinta follows a young woman in and out of prison as she attempts to break free from an inherited cycle of addiction, incarceration, and crime.",missing,north america,10,8,2021,9
s54,tv show,abc news live prime with linsey davis,missing,,usa,2021-10-07,2021,missing,1 season,news,your primetime news source for context and analysis of the day’s top stories. in-depth reporting and storytelling from across the country and around the world – hosted by linsey davis.,missing,north america,10,7,2021,9
s55,tv show,baker's dozen,missing,,usa,2021-10-07,2021,missing,1 season,"cooking & food, lifestyle & culture, reality","passionate amateur bakers will go head-to-head with seasoned professionals in each episode of “baker’s dozen”. join hosts tamera mowry-housley (emmy-award winning host of ""the real,"" fox’s “the masked singer” and hallmark’s “christmas comes twice”) and bill yosses (author and former white house pastry chef) for this fast-paced competition series that will determine the best baker of all! which of the 13 bakers has what it takes to create the next viral baking sensation, win the golden rolling pin and take home the cash prize?",missing,north america,10,7,2021,9
s56,movie,fifa world cup 2022 qualifying,missing,,various,2021-10-07,2019,missing,missing,sports,match coverage from the qualifiers for the fifa 2022 world cup.,missing,missing,10,7,2021,33
s57,movie,bellator mma 257: nemkov vs. davis 2 (r),missing,,usa,2021-10-06,2021,missing,missing,sports,"bellator champ vadim nemkov, phil davis, corey anderson in action. replay",missing,north america,10,6,2021,9
s58,movie,bellator mma: davis vs. nemkov,missing,,usa,2021-10-06,2018,missing,missing,sports,former bellator mma champion phil davis faces russia's vadim nemkov.,missing,north america,10,6,2021,45
s62,movie,maggie's plan,missing,,usa,2021-10-04,2015,r,99 min,"comedy, drama, romance","a young woman (gerwig) set on having a child, catapults herself into a love triangle with an academic (hawke) & his eccentric wife (moore).",missing,north america,10,4,2021,81
s63,tv show,the bradshaw bunch,missing,,usa,2021-10-04,2020,tv-pg,1 season,reality,"legendary quarterback and television-broadcast icon terry bradshaw gives us an intimate look at life in the off-season. as husband, father and “papi” to the bradshaw bunch, we see a side of terry bradshaw you’ve never seen before",missing,north america,10,4,2021,21
s66,movie,finding your feet,missing,,united kingdom,2021-10-03,2017,pg-13,112 min,"comedy, drama, romance","on the eve of retirement, a middle-class snob discovers her husband has been having an affair, and is forced to live with her bohemian sister on an impoverished inner-city estate.",missing,europe,10,3,2021,57
s67,movie,pacific airshow,missing,,usa,2021-10-03,2021,missing,missing,documentaries,"pacific airshow is not just an airshow. it’s a global spectacle-scale event that celebrates the love, patriotism and awe-inspiring feats of aviation with the enticing thrill of sports, entertainment, art and technology - backed by southern california’s most iconic beachfront destination. this year’s pacific airshow will be headlined by the u.s. navy blue angels celebrating their 75th anniversary tour and flying their new f/a-18 super hornets. the blue angels will be joined by the canadian forces snowbirds celebrating their 50th anniversary season, the u.s. air force f-35a lightning ii demo team led by major kristin “beo” wolfe, u.s. navy growler legacy flight demonstration team featuring two ea-18gs, a variant of the f/a-18 f super hornet, the u.s. marine corps mv-22 osprey demo team, the u.s. army golden knights parachute demonstration team, world-class civilian aerobatic performers and many more.",missing,north america,10,3,2021,9
s71,tv show,the most magical story on earth: 50 years of walt disney world,missing,,usa,2021-10-02,2021,tv-pg,1 season,news,"whoopi goldberg hosts a historical journey spanning half a century and beyond at walt disney world, featuring spectacular visuals, musical performances from christina aguilera and halle bailey, and interviews with iconic actors and athletes.",missing,north america,10,2,2021,9
s75,tv show,asylum,missing,,usa,2021-10-01,2021,missing,1 season,documentaries,"asylum is an intimate look at the dreams, prayers, and realities of two fathers seeking refuge in the u.s. – revealing that, after the harrowing roads that brought them to the country of their dreams, asylum is often elusive.",missing,north america,10,1,2021,9
s76,tv show,big sky,missing,,united states,2021-10-01,2020,tv-14,2 seasons,"crime, drama","storyteller david e. kelly (""big little lies"") presents a series about private detectives cassie dewell and cody hoyt, who join forces with cody's estranged wife and ex-cop, jenny hoyt, to search for two sisters who have been kidnapped by a truck driver on a remote highway in montana. when they discover that these are not the only girls who have disappeared in the area, they must race against the clock to stop the killer before another woman is taken. based on the series of books by c.j. box, the series stars katheryn winnick, kylie bunbury and ryan phillippe.",missing,north america,10,1,2021,21
s77,tv show,bite size halloween,missing,,usa,2021-10-01,2020,missing,2 seasons,horror,a series of stand-alone horror shorts ranging from the terrifying to the ridiculous.,missing,north america,10,1,2021,21
s78,movie,blippi's spooky spell halloween,missing,,usa,2021-10-01,2021,tv-y,41 min,kids,"get ready for a spooky halloween with blippi! learn all about fun halloween decorations, visit a candy store for the best sweet and spooky treats, learn how to make a jack-o-lantern, and so much more.",missing,north america,10,1,2021,9
s80,tv show,cake,missing,,united states,2021-10-01,2019,tv-ma,5 seasons,comedy,"""cake"" is a handcrafted assortment of bite-sized content served up to viewers as a tasty treat for the mind. featuring a diverse array of narratives from storytellers both new and established with eclectic points of view, the carefully curated half-hour showcase features both live-action and animated comedy programs of varied length that are equal parts thought-provoking, laugh-inducing, artistic, authentic and raw (not to mention, totally gif-able). there's something for everyone and plenty to go around.",missing,north america,10,1,2021,33
s81,movie,cedar rapids,missing,,usa,2021-10-01,2011,r,87 min,comedy,"a weekend insurance convention proves to be a hotbed of sex, booze and buffoonery for a naive young man in this comedy.",missing,north america,10,1,2021,129
s88,movie,date night extended version,missing,,usa,2021-10-01,2010,pg-13,102 min,"action, adventure, comedy",steve carell and tina fey are a couple whose wild night out injects some much-needed spark – and some serious danger – into their marriage.,missing,north america,10,1,2021,141
s90,movie,diary of a wimpy kid: rodrick rules,missing,,usa,2021-10-01,2011,pg,100 min,"comedy, family, kids",young underdog greg heffley is back for torment at the hands of his brother rodrick and more in this second hilarious flick in the series.,missing,north america,10,1,2021,129
s93,movie,edge of the world,missing,,malaysia,2021-10-01,2021,missing,104 min,"adventure, drama, history","the true story of british adventurer sir james brooke, who fought pirates, slavers and headhunters to rule a jungle kingdom larger than england in 1840's borneo.",missing,asia,10,1,2021,9
s101,movie,happy feet two,missing,,australia,2021-10-01,2011,pg,100 min,"adventure, comedy, family",tap-dancing penguin mumble is now a daddy...and he's got an equally unique (and talented) son to help in this fun-filled family sequel.,missing,oceania,10,1,2021,129
s109,movie,maze,missing,,"ireland, united kingdom, germany, sweden",2021-10-01,2017,93 min,missing,"action, adventure, crime","based on the incredible true story of the 1983 mass break-out of 38 ira prisoners from the hmp maze high security prison, one prisoner engineers the largest european prison escape since world war ii.",missing,europe,10,1,2021,57
s111,movie,peeples,missing,,usa,2021-10-01,2013,pg-13,95 min,"comedy, romance",sparks fly when wade walker (craig robinson) crashes the preppy peeples annual reunion in the hamptons to ask for their precious daughter grace's (kerry washington) hand in marriage,missing,north america,10,1,2021,105
s115,movie,resident evil: retribution,missing,,usa,2021-10-01,2012,r,96 min,"action, adventure, horror",alice fights alongside a resistance movement to regain her freedom from an umbrella corporation testing facility.,missing,north america,10,1,2021,117
s135,tv show,station 19,missing,,united states,2021-10-01,2018,tv-14,5 seasons,"action, drama","in seattle, all firefighters are also trained emts and the crew at station 19 is second to none. working in 24-hour shifts, these professionals spend so much time together that they build relationships, unlike any others.",missing,north america,10,1,2021,45
s140,movie,the hunger games,missing,,usa,2021-10-01,2012,tv-14,181 min,"action, adventure, science fiction","every year in the ruins of what was once north america, the nation of panem forces each of its twelve districts to send a teenage boy and girl to compete in the hunger games.",missing,north america,10,1,2021,117
s141,movie,the hunger games: catching fire,missing,,usa,2021-10-01,2013,tv-14,182 min,"action, adventure, science fiction","after arriving safely home from their unprecedented victory in the 74th annual hunger games, katniss and peeta discover they must do a quick turnaround and begin a victors tour.",missing,north america,10,1,2021,105
s142,movie,"the hunger games: mockingjay, part 1",missing,,usa,2021-10-01,2014,tv-14,108 min,"action, adventure, science fiction",katniss fights for peeta and a nation moved by her courage.,missing,north america,10,1,2021,93
s143,movie,"the hunger games: mockingjay, part 2",missing,,usa,2021-10-01,2015,tv-14,128 min,"action, adventure, family","with panem in a full scale war, katniss confronts president snow. katniss goes off on a mission with a unit from district 13 as they risk their lives to liberate the citizens of panem, and stage an assassination attempt on president snow.",missing,north america,10,1,2021,81
s154,movie,the vow,missing,,usa,2021-10-01,2012,tv-14,104 min,"drama, romance","inspired by a true story, the vow tells the tale of a husband (channing tatum) who must regain the love of his wife (rachel mcadams) after a coma steals the past five years of her memories.",missing,north america,10,1,2021,117
s156,movie,total recall,missing,,usa,2021-10-01,2012,tv-14,118 min,"action, adventure, science fiction",a factory worker becomes a hunted man after a procedure goes awry that would convert his dreams of life as a spy into real memories.,missing,north america,10,1,2021,117
s157,movie,unforgettable,missing,,usa,2021-10-01,2017,r,100 min,"drama, thriller","when her ex-husband announces that he plans to remarry, a woman sets out to destroy his new bride.",missing,north america,10,1,2021,57
s158,movie,victor frankenstein,missing,,"united kingdom, canada, united states",2021-10-01,2015,pg-13,110 min,"drama, horror",the story of frankenstein and his monster is brought to eye-popping new life in this lavish update with daniel radcliffe and james mcavoy.,missing,multi-continent,10,1,2021,81
s161,movie,within,missing,,usa,2021-10-01,2016,r,88 min,"horror, thriller",a widower moves into a new house and learns that the previous owners mysteriously vanished.,missing,north america,10,1,2021,69
s162,movie,wolves at the door,missing,,usa,2021-10-01,2016,r,72 min,"drama, horror, thriller",four friends endure a horrifying home invasion in the hollywood hills in 1969.,missing,north america,10,1,2021,69
s165,tv show,buzzfeed unsolved: true crime,missing,,united states,2021-09-30,2017,tv-14,8 seasons,"crime, mystery","conspiracy theory enthusiast ryan deep-dives into mysteries surrounding notorious unsolved crimes, in order to convince his dubious friend shane that, sometimes, the evidence isn’t always as it seems.",missing,north america,9,30,2021,56
s166,tv show,entre hombres,missing,,spain,2021-09-30,2021,missing,1 season,"action, adventure, drama",high-powered officials race to find a video of a sordid stag night in 1990s buenos aires in this hbo latino series.,missing,europe,9,30,2021,8
s167,movie,l.a. rams cheerleaders: making the squad,missing,,usa,2021-09-30,2021,missing,missing,news,"join us as we follow three candidates as they audition to be part of the la rams cheerleaders. jacqueline, the cheerleading vet hoping to secure a spot on the team again. jose, the college grad who flew cross country to take a chance on his dream. amanda, a lifelong dancer who is hoping her years of hard work will pay off.",missing,north america,9,30,2021,8
s168,movie,true crime: the murder of monica leech,missing,,usa,2021-09-30,2021,missing,missing,"crime, documentaries","the renewed hunt for the men wanted for the 1997 murder of bank teller monica leech during a robbery in quiet thousand oaks, california. the wanted men are members of one of l.a.’s largest and most violent street gangs. were they inspired by a hollywood blockbuster movie and does decades old dna evidence hold the clue to finally putting them behind bars?",missing,north america,9,30,2021,8
s169,movie,minor premise,missing,,usa,2021-09-29,2020,missing,96 min,"science fiction, thriller","attempting to surpass his father's legacy, a reclusive neuroscientist becomes entangled in his own experiment, pitting ten fragments of his consciousness against each other.",missing,north america,9,29,2021,20
s170,movie,year of extremes,missing,,usa,2021-09-29,2021,missing,missing,news,"as world leaders prepare to meet for a high-stakes climate summit in glasgow, abc’s chief meteorologist ginger zee looks at how human induced climate change is amplifying extreme weather events and what we can do now.",missing,north america,9,29,2021,8
s171,tv show,9-1-1,missing,,united states,2021-09-28,2018,tv-14,5 seasons,drama,"from prolific creators ryan murphy and brad falchuk, new procedural drama 9-1-1 is a fast-paced exploration into the lives and careers of first responders – cops, paramedics, firefighters – the people who put their lives on the line to save others.",missing,north america,9,28,2021,44
s172,movie,felix and the hidden treasure,missing,,spain,2021-09-28,2021,tv-pg,84 min,"adventure, comedy, kids","twelve-year-old felix sets off to find his missing father at sea. with the help of a retired sailor, a one-legged parrot, and a cat who thinks he’s a dog, felix will discover an unimaginable new world.",missing,europe,9,28,2021,8
s173,tv show,wild crime,missing,,usa,2021-09-28,2021,missing,1 season,documentaries,wild crime tells the story of one of the most notorious murders ever committed in a national park. the series follows special agent beth shott of the investigative services branch (the elite detective force of the national park service) as she and her team doggedly pursue the suspect through three years of twists and turns until he is arrested and convicted.,missing,north america,9,28,2021,8
s174,tv show,bob's burgers,missing,,united states,2021-09-27,2011,tv-14,12 seasons,"adult animation, comedy, sitcom","bob runs bob's burgers with the help of his wife and their three kids. business may be slow, but they never give up hope.",missing,north america,9,27,2021,128
s176,tv show,nuclear family,missing,,usa,2021-09-27,2021,tv-ma,1 season,"documentaries, lgbtq+",a docuseries from ry russo-young about growing up with two moms in the early 1980s when most sperm banks denied access to gay families.,missing,north america,9,27,2021,8
s177,tv show,the great north,missing,,united states,2021-09-27,2021,tv-pg,2 seasons,"adult animation, comedy, sitcom","following the adventures of the tobin family, as single dad beef tries to keep his kids close.",missing,north america,9,27,2021,8
s178,tv show,the rookie,missing,,united states,2021-09-27,2018,tv-14,4 seasons,"crime, drama","starting over isn’t easy, especially for small-town guy john nolan who, after a life-altering incident, is pursuing his dream of being an lapd officer. as the force’s oldest rookie, he’s met with skepticism from some higher-ups who see him as just a walking midlife crisis. if he can’t keep up with the young cops and the criminals, he’ll be risking lives including his own. but if he can use his life experience, determination and sense of humor to give him an edge, he may just become a success in this new chapter of his life.",missing,north america,9,27,2021,44
s180,tv show,bmf,missing,,usa,2021-09-26,2021,missing,1 season,"crime, drama","the story of how demetrius ""big meech"" flenory formed a criminal empire in detroit known as the black mafia family.",missing,north america,9,26,2021,8
s181,tv show,sec storied,missing,,usa,2021-09-26,2011,tv-pg,1 season,"documentaries, sports",the creators of the peabody and emmy award-winning series focus on the ongoing story of the southeastern conference.,missing,north america,9,26,2021,128
s182,movie,gemini,missing,,united states,2021-09-25,2017,r,93 min,"drama, horror, mystery","a heinous crime tests the complex relationship between a hollywood starlet and her tenacious personal assistant. as the assistant unravels the mystery, she must confront her own understanding of friendship, truth and celebrity.",missing,north america,9,25,2021,56
s184,tv show,the eric andre show,missing,,united states,2021-09-24,2012,tv-14,5 seasons,comedy,"just another talk show? think again. the eric andre show may be the most manic and unorthodox late night talk show ever made. the show’s traditional talk show format quickly devolves into chaos as its inept and bipolar host eric andre, along with his apathetic co-host hannibal buress (30 rock, snl), subvert all late-night conventions.",missing,north america,9,24,2021,116
s185,movie,this world alone,missing,,usa,2021-09-24,2018,missing,90 min,"drama, science fiction","after a cataclysmic event leaves the earth without technology or power, sam – a book-obsessed girl in her late teens – is forced out of her protective home for the first time in an attempt to save all she’s ever known.",missing,north america,9,24,2021,44
