cast,continent,country,country_cleaned,date_added,day,description,difference,director,duration,duration_min,duration_season,listed_in,month,rating,release_year,show_id,title,type,year,service
,north america,united states,missing,2021-09-21,21,"join jimmy fallon for a daily mix of jokes, sketches, celebrity interviews and musical guests.",92,missing,2 seasons,missing,2,"comedy, late night",9,tv-14,2014,s200,the tonight show starring jimmy fallon,tv show,2021,hulu
,north america,united states,missing,2021-09-20,20,anna faris and emmy award winner allison janney star in this often heart-wrenching comedy about a mother and daughter who are trying to get their life on track.,104,missing,8 seasons,missing,8,"comedy, sitcom",9,tv-14,2013,s203,mom,tv show,2021,hulu
,north america,united states,missing,2021-09-20,20,"""to tell the truth"" is an anarchic and funny re-imagination of the beloved, game show of the same name. in each round, celebrities are presented with three people who all claim to be the same person with the same incredible talent, job or achievement. one is sworn to tell the truth while the others are not. the panel of celebrities has a chance to grill each participant before taking turns deciding who they think is telling the truth.",68,missing,1 season,missing,1,"comedy, reality",9,tv-pg,2016,s204,to tell the truth,tv show,2021,hulu
,north america,"canada, united states",missing,2021-09-15,15,professional wrestling is the only sport where its stars live in two worlds and balance their in-ring characters with real life. this series examines these complex intersections of fantasy and reality while uncovering wrestling's dark and untold history.,32,missing,3 seasons,missing,3,"documentaries, drama, sports",9,tv-14,2019,s217,dark side of the ring,tv show,2021,hulu
,multi-continent,"united states, united kingdom, germany, canada",missing,2021-09-15,15,a genetically bred assassin joins forces with a young woman to stop a corporation looking to steal the secret of his past.,80,missing,97 min,97,na,"action, adventure, crime",9,r,2015,s219,hitman: agent 47,movie,2021,hulu
,north america,united states,missing,2021-09-15,15,a closeted gay teen deals with coming out to his family and friends in this charming.coming-of-age tale.,44,missing,110 min,110,na,"comedy, drama, lgbtq+",9,pg-13,2018,s224,"love, simon",movie,2021,hulu
,north america,united states,missing,2021-09-15,15,"thomas leads his group of escaped gladers on a dangerous mission to save their friends in the finale to the ""maze runner"" trilogy.",44,missing,144 min,144,na,"action, adventure, science fiction",9,pg-13,2018,s225,maze runner: the death cure,movie,2021,hulu
,north america,united states,missing,2021-09-10,10,"a mini-golf competition series, will showcase self-proclaimed mini-golf lovers from around the country as they compete head-to-head through an epic obstacle golf course. in each episode, 12 contestants will put their miniature golf – and physical – skills to the test and face off in never-before-seen challenges on a supersized miniature golf course.",32,missing,1 season,missing,1,"game shows, reality",9,tv-pg,2019,s237,holey moley,tv show,2021,hulu
,north america,united states,missing,2021-09-08,8,"emmy® nominated wu-tang: an american saga is inspired by “the wu-tang manual” and “tao of wu”, and based on the true story of the wu-tang clan. set in early ’90s new york at the height of the crack cocaine epidemic, the show tracks the clan’s formation, a vision of bobby diggs aka the rza, who strives to unite a dozen young, black men that are torn between music and crime but eventually rise to become the unlikeliest of american success stories.",32,missing,2 seasons,missing,2,"black stories, drama",9,tv-ma,2019,s246,wu-tang: an american saga,tv show,2021,hulu
,north america,united states,missing,2021-09-07,7,the biggest names in radio host tv's funniest entertainment news show!,104,missing,1 season,missing,1,comedy,9,tv-pg,2013,s249,dish nation,tv show,2021,hulu
,north america,united states,missing,2021-09-03,3,"bolden imagines the compelling, powerful and tragic journey of buddy bolden, the unsung american hero who invented jazz.",32,missing,102 min,102,na,"drama, history, music",9,r,2019,s254,bolden,movie,2021,hulu
,north america,united states,missing,2021-09-01,1,"dave skylark and producer aaron rapoport run the celebrity tabloid show ""skylark tonight."" when they land an interview with a surprise fan, north korean dictator kim jong-un, they are recruited by the cia.",92,missing,113 min,113,na,comedy,9,tv-ma,2014,s304,the interview,movie,2021,hulu
,north america,united states,missing,2021-08-26,26,american horror story is an anthology horror drama series created and produced by ryan murphy and brad falchuk. the emmy® and golden globe® winning franchise is produced by twentieth century fox television.,127,missing,10 seasons,missing,10,"drama, horror",8,tv-ma,2011,s330,american horror story,tv show,2021,hulu
,north america,united states,missing,2021-08-17,17,"some of the bachelor's biggest stars and villains are back. they all left the bachelor or the bachelorette with broken hearts, but now they know what it really takes to find love, and on bachelor in paradise they'll get a second chance to find their soul mates. contestants will live together in an isolated romantic paradise in mexico and explore new romantic relationships.",91,missing,4 seasons,missing,4,"reality, romance",8,tv-14,2014,s351,bachelor in paradise,tv show,2021,hulu
,north america,united states,missing,2021-08-13,13,"an ensemble comedy about a talented-but-carefree detective, a by-the-book police captain and their precinct colleagues. while based in the workplace, the series is not really about the job – it’s about the men and women behind the badge.",103,missing,8 seasons,missing,8,"comedy, sitcom",8,tv-14,2013,s358,brooklyn nine-nine,tv show,2021,hulu
,north america,united states,missing,2021-08-13,13,"dream corp llc is an absurd comedy set in a neglected dream therapy facility. each week desperate patients have their dreams recorded and analyzed by dream corp's absent-minded professor, dr roberts, and his team of unremarkable scientists.",67,missing,3 seasons,missing,3,"comedy, sitcom",8,tv-14,2016,s359,dream corp llc,tv show,2021,hulu
,north america,united states,missing,2021-08-12,12,"produced by oprah winfrey, award-winning filmmaker ava duvernay (selma), and melissa carter, queen sugar chronicles the lives and loves of the estranged bordelon siblings in saint josephine, louisiana. reunited by a family tragedy, the bordelons must navigate their complicated lives in order to run an ailing sugarcane farm.",67,missing,5 seasons,missing,5,"black stories, drama",8,tv-14,2016,s365,queen sugar,tv show,2021,hulu
,north america,united states,missing,2021-08-06,6,"wrapped up in the endearing humor and physical comedy that made the madagascar movies so popular, madagascar: a little wild is a cg, musical comedy series featuring alex, marty, gloria and melman as young residents of a rescue habitat in the central park zoo. like everybody who lands in new york, these kids have big dreams and big plans. the series celebrates being yourself, never giving up, and pursuing your dreams with abandon, no matter the size.",19,missing,4 seasons,missing,4,"adventure, cartoons, family",8,tv-g,2020,s378,madagascar: a little wild,tv show,2021,hulu
,north america,united states,missing,2021-08-03,3,"fear the walking dead amc’s new companion series to the walking dead, goes back to the beginning of the zombie apocalypse in los angeles, to a time when life as everyone knew it was upended for reasons unknown.",79,missing,6 seasons,missing,6,"drama, horror, science fiction",8,tv-ma,2015,s382,fear the walking dead,tv show,2021,hulu
,north america,united states,missing,2021-08-01,1,"hamilton is fascinated by drugs. join him on an incredible journey as he investigates the history, chemistry, and social impact of the world’s most extraordinary mind-altering substances in hamilton’s pharmacopeia.",67,missing,3 seasons,missing,3,documentaries,8,tv-ma,2016,s399,hamilton's pharmacopeia,tv show,2021,hulu
,north america,united states,missing,2021-08-01,1,"only god and the devil can tell the difference between a saint and a sinner at greater hope baptist church. with a history stretching over several generations, the church and the townspeople of cypress, georgia truly are a family. however, in this family, love and loyalty have become tainted by lust and greed. as mysteries unravel, deeply-ingrained secrets threaten to demolish the very heart of the community and shatter the lives of those within it.",67,missing,5 seasons,missing,5,"black stories, drama",8,tv-ma,2016,s406,saints & sinners,tv show,2021,hulu
,north america,"united states, canada",missing,2021-08-01,1,max is transported into a 1980s horror film that starred her dead mother.,79,missing,91 min,91,na,"comedy, horror",8,pg-13,2015,s411,the final girls,movie,2021,hulu
,north america,united states,missing,2021-07-09,9,follow zoey johnson as she heads to college and begins her hilarious journey to adulthood.,42,missing,4 seasons,missing,4,"black stories, comedy, sitcom",7,tv-14,2018,s469,grown-ish,tv show,2021,hulu
,multi-continent,"united states, czech republic, spain",missing,2021-07-08,8,"in this remake of the 1973 classic, papillon, a french prisoner forms an unlikely bond with a fellow inmate and finds the will to ensure they both survive.",54,missing,133 min,133,na,"action, adventure, drama",7,r,2017,s476,papillon,movie,2021,hulu
,north america,united states,missing,2021-07-01,1,"experience the white-knuckle thrill of big wave surfing through the eyes of laird hamilton, a living legend who conquers the world's mightiest tides.",54,missing,118 min,118,na,"documentaries, sports",7,pg,2017,s545,take every wave: the life of laird hamilton,movie,2021,hulu
,north america,"united states, canada",missing,2021-07-01,1,dwayne johnson is a hockey-playing hellion who turns into a tutu-wearing tooth fairy to atone for his bad behavior in this family film.,138,missing,102 min,102,na,"comedy, family, kids",7,pg,2010,s558,tooth fairy,movie,2021,hulu
,north america,"united states, canada",missing,2021-06-23,23,three young witches with basic training in combat magic prepare to defend the country against looming terrorist threats by using supernatural tactics and weapons.,17,missing,2 seasons,missing,2,"drama, science fiction",6,tv-14,2020,s584,motherland: fort salem,tv show,2021,hulu
,north america,united states,missing,2021-06-21,21,"chefs get $25,000 and chances to spend that money on helping themselves or sabotaging competitors.",101,missing,14 seasons,missing,14,"cooking & food, family, lifestyle & culture",6,tv-g,2013,s587,cutthroat kitchen,tv show,2021,hulu
,north america,united states,missing,2021-06-21,21,chefs anne burrel and beau macmillan coach twelve of the worst cooks in america to transform them into gourmands.,137,missing,2 seasons,missing,2,"cooking & food, family, lifestyle & culture",6,tv-g,2010,s592,worst cooks in america,tv show,2021,hulu
,north america,united states,missing,2021-06-17,17,"""dave"" centers on a neurotic man in his late 20s who has convinced himself that he's destined to be one of the best rappers of all time. now he must convince his closest friends, because with their help, he actually might convince the world. simultaneously exasperating and inspiring to his friends, he vows to leave no stone unturned on his quest to become the next superstar. the half-hour comedy is based on the life of rapper and comedian dave burd, better known by his stage name lil dicky.",17,missing,2 seasons,missing,2,"comedy, sitcom",6,tv-ma,2020,s599,dave,tv show,2021,hulu
,north america,united states,missing,2021-06-15,15,"in alone, ten men are left in solitude, and separated from each other, in the harsh vancouver island wilderness. with no camera crews or producers, they have to survive using only what they can stuff into a backpack. they will hunt, build shelters and fend off predators as they face extreme isolation, psychological distress and the terrifying plunge into the unknown.",77,missing,7 seasons,missing,7,"action, adventure, documentaries",6,tv-14,2015,s603,alone,tv show,2021,hulu
,north america,united states,missing,2021-06-15,15,"meet the robertsons, a louisiana bayou family living the american dream. a mom-and-pop operation, the duck commander business has become a sporting empire by making top-of-the-line duck calls and decoys.",113,missing,1 season,missing,1,"documentaries, reality",6,tv-pg,2012,s608,duck dynasty,tv show,2021,hulu
,north america,united states,missing,2021-06-15,15,"forged in fire is a competition show pitting master weapon makers against each other. each week, four of the best blade smiths in the country will come together to put both their skills and reputations on the line.",77,missing,3 seasons,missing,3,"documentaries, history, reality",6,tv-pg,2015,s609,forged in fire,tv show,2021,hulu
,north america,united states,missing,2021-06-15,15,"on the occasion of his fifth wedding anniversary, a magazine writer reports that his beautiful wife – famous for being the inspiration for her parents' beloved children's books – has gone missing. presented by fxm",89,missing,146 min,146,na,"crime, drama, mystery",6,tv-ma,2014,s610,gone girl,movie,2021,hulu
,north america,united states,missing,2021-06-15,15,"in the big city, true love is increasingly hard to achieve. but what if six brave souls, yearning for romance and a loving partnership, agree to a provocative proposal: getting married at first sight?",89,missing,7 seasons,missing,7,reality,6,tv-14,2014,s613,married at first sight,tv show,2021,hulu
,north america,united states,missing,2021-06-11,11,"set in the world of the original 2018 film “love, simon,” the series follows victor, a new student at creekwood high school on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation. when it all seems too much, he reaches out to simon to help him navigate the ups and downs of high school.",17,missing,2 seasons,missing,2,"drama, lgbtq+, latino",6,tv-14,2020,s625,"love, victor",tv show,2021,hulu
,north america,united states,missing,2021-06-11,11,"throughout potomac, maryland are a handful of old-line, wealthy african-american families who have historically broken racial barriers to provide the best life possible for their children.",65,missing,5 seasons,missing,5,"black stories, reality",6,tv-14,2016,s627,the real housewives of potomac,tv show,2021,hulu
,north america,united states,missing,2021-06-10,10,"a culinary competition series that searches for the best home cooks in america, and through a series of exciting elimination rounds, will turn one of them into a culinary master.",137,missing,11 seasons,missing,11,"cooking & food, family, lifestyle & culture",6,tv-pg,2010,s630,masterchef,tv show,2021,hulu
,north america,united states,missing,2021-06-09,9,twelve teams of two compete against each other in ambitious brick-building challenges to be crowned the country's most talented amateur lego builders.,17,missing,2 seasons,missing,2,"game shows, reality",6,tv-g,2020,s635,lego masters,tv show,2021,hulu
,north america,united states,missing,2021-06-07,7,"a heart-racing quiz show where three competitors face off against the chaser, a ruthless quiz genius determined to stop them from winning cash prizes. each episode is a fast-paced battle of brainpower, where contestants are challenged to think faster than they ever thought possible to answer up to 166 questions across all topics.",5,missing,1 season,missing,1,"game shows, reality",6,tv-pg,2021,s640,the chase,tv show,2021,hulu
,north america,united states,missing,2021-06-01,1,"american competitors face the world's most difficult obstacle course in japan for the chance to win $500,000.",113,missing,1 season,missing,1,"action, adventure, family",6,tv-pg,2012,s651,american ninja warrior,tv show,2021,hulu
,north america,united states,missing,2021-06-01,1,"a divorced writer from the midwest returns to her hometown to reconnect with an old flame, who's now married with a family.",125,missing,94 min,94,na,"comedy, drama, romance",6,r,2011,s675,young adult,movie,2021,hulu
,north america,united states,missing,2021-05-31,31,"“duncanville” is centered around a spectacularly average 15-year-old boy with a rich fantasy life, and the people in his world.",16,missing,2 seasons,missing,2,"adult animation, comedy, sitcom",5,tv-14,2020,s676,duncanville,tv show,2021,hulu
,north america,united states,missing,2021-05-28,28,"just when you thought you knew who did it, a tip comes in that changes the direction of the case and shifts suspicions. find out who really did it on unusual suspects.",136,missing,8 seasons,missing,8,"crime, documentaries, mystery",5,tv-14,2010,s682,unusual suspects,tv show,2021,hulu
,europe,united kingdom,missing,2021-05-27,27,narco wars explores how opportunistic smuggling networks in latin america turned into powerful and ruthless drug cartels with unprecedented power.,16,missing,2 seasons,missing,2,"crime, documentaries, drama",5,tv-14,2020,s685,narco wars,tv show,2021,hulu
,north america,united states,missing,2021-05-27,27,a game of wits as contestants avoid the whammy.,28,missing,2 seasons,missing,2,"game shows, reality",5,tv-pg,2019,s686,press your luck,tv show,2021,hulu
,north america,united states,missing,2021-05-27,27,"the bold type reveals a glimpse into the outrageous lives and loves of those responsible for the global women's magazine, ""scarlet."" the rising generation of scarlet women leans on one another as they find their own voices in a sea of intimidating leaders. together they explore sexuality, identity, love and fashion.",52,missing,5 seasons,missing,5,"black stories, drama, lifestyle & culture",5,tv-14,2017,s689,the bold type,tv show,2021,hulu
,oceania,australia,missing,2021-05-26,26,"hardened by the prison system and his experiences dealing with it, criminal for hire ray shoesmith learns how to deal with life in the real world away from the bars of prison, where actions always have consequences.",40,missing,3 seasons,missing,3,"crime, drama",5,tv-ma,2018,s692,mr inbetween,tv show,2021,hulu
,north america,united states,missing,2021-05-04,4,"murder changes everything for those left in the wake of the crime, but what about the investigator who solves the heinous crime? meet lieutenant joe kenda, a 23-year veteran of the colorado springs police department who reveals the vivid memories of the most disturbing murders that still haunt him to this today.",100,missing,7 seasons,missing,7,"crime, documentaries",5,tv-14,2013,s732,homicide hunter,tv show,2021,hulu
,north america,united states,missing,2021-05-04,4,"strangers find themselves stranded in some of the world’s most remote areas with no water, no tools – and no clothes.",100,missing,2 seasons,missing,2,"adventure, documentaries, reality",5,tv-14,2013,s734,naked and afraid,tv show,2021,hulu
,north america,united states,missing,2021-05-01,1,"living for the first time as the person she feels she was born to be, the docu-series will also explore what cait's transition means for the people in her life.",76,missing,2 seasons,missing,2,"documentaries, drama, lgbtq+",5,tv-14,2015,s748,i am cait,tv show,2021,hulu
,north america,united states,missing,2021-04-28,28,"emmy® nominated a woman forced into sexual servitude struggles to survive in a terrifying, totalitarian society.",51,missing,4 seasons,missing,4,"drama, science fiction",4,tv-ma,2017,s764,the handmaid's tale,tv show,2021,hulu
,north america,united states,missing,2021-04-15,15,"the hit bravo franchise heads to the glamorous city that defines luxurious wealth and pampered privilege, a city where being seen and who you know is everything - beverly hills. this one-hour docu-series is being produced by evolution media (""the real housewives of orange county"") for bravo with douglas ross, greg stewart, kathleen french and dave rupel as executive producers, and alex baskin as co-executive producer.",135,missing,10 seasons,missing,10,reality,4,tv-14,2010,s790,the real housewives of beverly hills,tv show,2021,hulu
,north america,united states,missing,2021-04-15,15,"40-year-old liza (sutton foster) passes herself off as 26 to land a job in the field of her dreams. now she just has to make sure no one discovers her secret. also stars hilary duff, debi mazar, nico tortorella and miriam shor.",75,missing,7 seasons,missing,7,"comedy, drama, romance",4,tv-14,2015,s793,younger,tv show,2021,hulu
,north america,united states,missing,2021-04-01,1,searching for a new home and a new lifestyle in the caribbean.,87,missing,6 seasons,missing,6,"family, lifestyle & culture, reality",4,tv-g,2014,s826,caribbean life,tv show,2021,hulu
,north america,united states,missing,2021-04-01,1,guy fieri pits four talented chefs against one another in a grocery store cooking competition.,99,missing,10 seasons,missing,10,"cooking & food, family, lifestyle & culture",4,tv-g,2013,s832,guy's grocery games,tv show,2021,hulu
,north america,united states,missing,2021-04-01,1,"a group of the best survival experts in the world take on an un-survivable situation: 40 days. 40 nights. no food, water or clothes. to survive they’ll need to master the environment, pushing far beyond the breaking point. will even one be able to finish?",75,missing,2 seasons,missing,2,"adventure, documentaries, reality",4,tv-14,2015,s834,naked and afraid xl,tv show,2021,hulu
,north america,united states,missing,2021-04-01,1,say yes to the dress goes behind-the-scenes at kleinfeld's bridal salon in new york and uncovers the hurdles every staff member faces to make each bride completely satisfied on what may be the single most important day of her life.,87,missing,5 seasons,missing,5,"family, lifestyle & culture, reality",4,tv-pg,2014,s835,say yes to the dress,tv show,2021,hulu
,multi-continent,"united states, denmark",missing,2021-04-01,1,"cartoon network is transporting viewers to a joyous kingdom full of sparkle matter, happy thoughts and the occasional rage-out in unikitty!",51,missing,3 seasons,missing,3,"action, adventure, comedy",4,tv-y7,2017,s845,unikitty,tv show,2021,hulu
,north america,united states,missing,2021-03-29,29,"rupaul welcomes back the best of the best, the top queens from former seasons of ""drag race"" to determine which of these all-stars will claim the ultimate title and be declared queen amongst queens.",110,missing,4 seasons,missing,4,"black stories, lgbtq+, lifestyle & culture",3,tv-ma,2012,s851,rupaul's drag race all stars,tv show,2021,hulu
,asia,japan,missing,2021-03-27,27,"despite being born powerless into a super-powered world, izuku refuses to give up on his dream of becoming a hero. he enrolls himself in a prestigious hero academy with a deadly entrance exam. to make the grade, he’ll have to put in some serious study time with the mightiest hero of all.",62,missing,5 seasons,missing,5,"action, anime, comedy",3,tv-14,2016,s852,my hero academia,tv show,2021,hulu
,north america,united states,missing,2021-03-26,26,"a team of four aliens escape their exploding home world only to crash land into a move-in ready home in suburban america. they are evenly split on whether earth is awful or awesome. korvo (justin roiland) and yumyulack (sean giambrone) only see the pollution, crass consumerism, and human frailty while terry (thomas middleditch) and jesse (mary mack) love humans and all their tv, junk food and fun stuff. their mission: protect the pupa, a living super computer that will one day evolve into its true form, consume them and terraform the earth.",14,missing,2 seasons,missing,2,"adult animation, comedy, science fiction",3,tv-ma,2020,s855,solar opposites,tv show,2021,hulu
,multi-continent,"united kingdom, united states",missing,2021-03-23,23,"""breeders"" explores the paradox experienced by nearly all parents, the willingness to die for one's children coupled with the near-constant desire to kill them. paul is a caring father who discovers he's not quite the man he thought he was. his partner, ally, runs a recording studio, makes paul laugh and has the ability to read a story to their children while she's technically asleep. in this honest and uncompromising comedy, paul and ally are juggling full-time careers, aging parents, a mortgage, upheavals in their relationship and the unenviable curveballs of parenting their young children, luke and ava. when ally's estranged father michael appears on their doorstep, the family essentially takes on a third child three quarters of the time, but this one comes with baggage and opinions. paul's own parents, jackie and jim, are on hand to help out, but their generation does parenting a little differently.",14,missing,2 seasons,missing,2,"comedy, sitcom",3,tv-ma,2020,s861,breeders,tv show,2021,hulu
,north america,united states,missing,2021-03-22,22,"as one of the 20th century’s most influential and celebrated artists, pablo picasso imagined and interpreted the world in new and unorthodox ways, reinventing our perception of creativity. starring antonio banderas, genius: picasso explores how the artist’s passionate nature and relentless creative drive were bound up with his personal life, which featured tumultuous marriages, numerous affairs and ever-shifting political and personal alliances.",50,missing,3 seasons,missing,3,"drama, history",3,tv-14,2017,s862,genius,tv show,2021,hulu
,north america,united states,missing,2021-03-20,20,catfish: the tv show brings together couples who've interacted solely through lcd screens. over the course of months they've supposedly fallen in love – but what will happen when they meet in real life for the first time?,110,missing,8 seasons,missing,8,"documentaries, reality, teen",3,tv-pg,2012,s865,catfish: the tv show,tv show,2021,hulu
,north america,"mexico, united states",missing,2021-03-17,17,"""mayans m.c."" is the next chapter in the ""sons of anarchy"" saga. set in a post-jax teller world, ezekiel ""ez"" reyes is fresh out of prison and a prospect in the mayans m.c. charter on the californiamexico border. ez, the gifted son of a proud latino family and former golden boy, sees his quest for the american dream snuffed out by border violence. faced with carving out a new identity for himself in his small town, ez's need for vengeance drives him toward a life he never intended and can never escape.",38,missing,3 seasons,missing,3,"crime, drama",3,tv-ma,2018,s871,mayans m.c.,tv show,2021,hulu
