type,country,date_added,month,day,year,release_year,rating,duration_min,duration_season,difference,continent,country_cleaned,duration,listed_in,description,show_id,director,cast,title
TV Show,,2021-09-17,9,17,2021,2020,TV-Y7,NA,1,20,,,1 Season,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,s35,,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",Tayo and Little Wizards
Movie,,2021-09-17,9,17,2021,2021,TV-MA,110,NA,8,,,110 min,"Dramas, International Movies, Thrillers","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",s36,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",The Father Who Moves Mountains
Movie,,2021-09-17,9,17,2021,2021,TV-MA,105,NA,8,,,105 min,"Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",s37,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",The Stronghold
TV Show,Finland,2021-09-16,9,16,2021,2018,TV-Y7,NA,1,44,Europe,['Finland'],1 Season,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",s38,,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Angry Birds
Movie,"China, Canada, United States",2021-09-16,9,16,2021,2017,PG-13,96,NA,56,Multi-Continent,"['China', ' Canada', ' United States']",96 min,"Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",s39,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia",Birth of the Dragon
TV Show,India,2021-09-16,9,16,2021,2021,TV-Y7,NA,3,8,Asia,['India'],3 Seasons,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",s40,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",Chhota Bheem
TV Show,United States,2021-09-16,9,16,2021,2021,TV-Y7,NA,1,8,North America,['United States'],1 Season,"Kids' TV, TV Sci-Fi & Fantasy",Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,s41,,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",He-Man and the Masters of the Universe
Movie,,2021-09-16,9,16,2021,2021,PG,23,NA,8,,,23 min,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",s46,Tyler Greco,,My Heroes Were Cowboys
Movie,"South Africa, United States, Japan",2021-09-16,9,16,2021,2012,R,115,NA,116,Multi-Continent,"['South Africa', ' United States', ' Japan']",115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,s47,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman",Safe House
TV Show,,2021-09-16,9,16,2021,2020,TV-MA,NA,1,20,,,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",s48,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",The Smart Money Woman
TV Show,Nigeria,2021-09-15,9,15,2021,2021,TV-MA,NA,2,8,Africa,['Nigeria'],2 Seasons,"International TV Shows, TV Dramas","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",s50,,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Castle and Castle
TV Show,India,2021-09-15,9,15,2021,2014,TV-PG,NA,1,92,Asia,['India'],1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",s51,,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",Dharmakshetra
TV Show,United States,2021-09-15,9,15,2021,2021,TV-PG,NA,6,8,North America,['United States'],6 Seasons,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",s56,,"Nicole Byer, Jacques Torres",Nailed It
Movie,Japan,2021-09-15,9,15,2021,2011,TV-14,102,NA,128,Asia,['Japan'],102 min,"Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",s57,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Naruto Shippuden the Movie: Blood Prison
Movie,Japan,2021-09-15,9,15,2021,2010,TV-14,85,NA,140,Asia,['Japan'],85 min,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",s61,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Naruto Shippuden: The Movie: The Lost Tower
Movie,,2021-09-15,9,15,2021,2021,TV-PG,103,NA,8,,,103 min,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,s65,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",Nightbooks
TV Show,United Kingdom,2021-09-15,9,15,2021,2021,TV-Y,NA,6,8,Europe,['United Kingdom'],6 Seasons,Kids' TV,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",s66,,"Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",Numberblocks
TV Show,India,2021-09-15,9,15,2021,2014,TV-G,NA,1,92,Asia,['India'],1 Season,"Docuseries, International TV Shows","Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",s67,,,Raja Rasoi Aur Anya Kahaniyan
Movie,,2021-09-15,9,15,2021,2021,TV-14,113,NA,8,,,113 min,"Documentaries, International Movies, Sports Movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",s69,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,Schumacher
TV Show,India,2021-09-15,9,15,2021,2015,TV-PG,NA,1,80,Asia,['India'],1 Season,"International TV Shows, TV Dramas",The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,s70,,,Stories by Rabindranath Tagore
TV Show,,2021-09-15,9,15,2021,2021,TV-MA,NA,1,8,,,1 Season,"International TV Shows, Reality TV, Romantic TV Shows","On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",s71,,Itatí Cantoral,Too Hot To Handle: Latino
Movie,,2021-09-14,9,14,2021,2021,TV-Y,13,NA,8,,,13 min,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,s72,David A. Vargas,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",A StoryBots Space Adventure
TV Show,United Kingdom,2021-09-14,9,14,2021,2021,TV-MA,NA,5,8,Europe,['United Kingdom'],5 Seasons,"British TV Shows, Docuseries, International TV Shows","Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",s73,,"Jack Whitehall, Michael Whitehall",Jack Whitehall: Travels with My Father
Movie,Nigeria,2021-09-14,9,14,2021,2018,TV-MA,182,NA,44,Africa,['Nigeria'],182 min,"Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",s74,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",King of Boys
TV Show,,2021-09-14,9,14,2021,2021,TV-PG,NA,2,8,,,2 Seasons,Reality TV,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",s75,,,The World's Most Amazing Vacation Rentals
Movie,,2021-09-14,9,14,2021,2021,TV-G,106,NA,8,,,106 min,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",s76,Ben Simms,"Bear Grylls, Jason Derek Prempeh",You vs. Wild: Out Cold
TV Show,Japan,2021-09-14,9,14,2021,2013,TV-14,NA,1,104,Asia,['Japan'],1 Season,"Anime Series, International TV Shows","A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",s77,,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",Yowamushi Pedal
Movie,India,2021-09-11,9,11,2021,2021,TV-Y7,48,NA,8,,,48 min,"Children & Family Movies, Comedies",Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,s78,Prakash Satam,"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey",Little Singham - Black Shadow
Movie,,2021-09-11,9,11,2021,2020,TV-14,145,NA,20,,,145 min,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,s79,Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",Tughlaq Durbar
Movie,,2021-09-11,9,11,2021,2021,TV-14,145,NA,8,,,145 min,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,s80,Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",Tughlaq Durbar (Telugu)
Movie,,2021-09-10,9,10,2021,2021,TV-Y7,93,NA,8,,,93 min,Children & Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",s81,Tomer Eshed,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie",Firedrake the Silver Dragon
Movie,United States,2021-09-10,9,10,2021,2021,R,106,NA,8,North America,['United States'],106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",s82,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",Kate
TV Show,United States,2021-09-10,9,10,2021,2021,TV-14,NA,6,8,North America,['United States'],6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",s83,,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",Lucifer
TV Show,,2021-09-10,9,10,2021,2021,TV-MA,NA,1,8,,,1 Season,Reality TV,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",s84,,Jo Koy,Metal Shop Masters
Movie,Nigeria,2021-09-10,9,10,2021,2020,TV-MA,147,NA,20,Africa,['Nigeria'],147 min,"Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",s85,"JJC Skillz, Funke Akindele","Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",Omo Ghetto: the Saga
TV Show,,2021-09-10,9,10,2021,2021,TV-Y7,NA,1,8,,,1 Season,"Anime Series, Kids' TV","As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!",s86,,"Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands",Pokémon Master Journeys: The Series
Movie,,2021-09-10,9,10,2021,2021,TV-MA,87,NA,8,,,87 min,"International Movies, Thrillers",A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,s87,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",Prey
